step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
16224,-20.316567360919414,223,-20.316567360919414,223,16224,0,16220,0.811,3,0.08343263908054518,0.0,-20.39999999999996,0.0,0.0,-20.316567360919414,1.0
16561,-13.117170992395145,225,-13.117170992395145,225,16561,0,16555,0.82775,0,0.08282900760484779,0.0,-13.199999999999994,0.0,0.0,-13.117170992395145,1.0
17141,-10.056855640991882,236,-10.056855640991882,236,17141,0,17135,0.85675,1,0.09314435900812564,0.0,-10.150000000000007,0.0,0.0,-10.056855640991882,1.0
17381,-12.879114122722465,219,-12.879114122722465,219,17381,0,17375,0.86875,0,0.07088587727754013,0.0,-12.950000000000005,0.0,0.0,-12.879114122722465,1.0
17392,-10.997705331636512,257,-10.997705331636512,257,17392,0,17388,0.8694,3,0.10229466836348826,0.0,-11.1,0.0,0.0,-10.997705331636512,1.0
17439,-16.778106937045624,530,-16.778106937045624,530,17439,0,17433,0.87165,2,0.17189306295436363,0.0,-16.94999999999999,0.0,0.0,-16.778106937045624,1.0
17852,-25.279145859013376,223,-25.279145859013376,223,17852,0,17846,0.8923,1,0.07085414098656696,0.0,-25.34999999999994,0.0,0.0,-25.279145859013376,1.0
18319,-15.257651722120196,240,-15.257651722120196,240,18319,0,18313,0.91565,0,0.0923482778797979,0.0,-15.349999999999993,0.0,0.0,-15.257651722120196,1.0
18783,-18.344988810414833,243,-18.344988810414833,243,18783,0,18777,0.93885,1,0.10501118958514671,0.0,-18.449999999999978,0.0,0.0,-18.344988810414833,1.0
18827,-3.890683000191398,335,-3.890683000191398,335,18827,0,18821,0.94105,2,0.1593169998086017,0.0,-4.05,0.0,0.0,-3.890683000191398,1.0
18855,-2.2829848311880356,323,-2.2829848311880356,323,18855,0,18849,0.94245,3,0.1670151688119639,0.0,-2.4499999999999997,0.0,0.0,-2.2829848311880356,1.0
19544,-10.837566917668221,291,-10.837566917668221,291,19544,0,19538,0.9769,0,0.1124330823317818,0.0,-10.950000000000003,0.0,0.0,-10.837566917668221,1.0
19659,-6.218208962979525,234,-6.218208962979525,234,19659,0,19653,0.98265,1,0.08179103702047597,0.0,-6.300000000000001,0.0,0.0,-6.218208962979525,1.0
19772,-14.410677917895102,251,-14.410677917895102,251,19772,0,19766,0.9883,2,0.08932208210489025,0.0,-14.499999999999993,0.0,0.0,-14.410677917895102,1.0
19992,-6.98549167400858,274,-6.98549167400858,274,19992,0,19986,0.9993,3,0.21450832599142322,0.0,-7.200000000000004,0.0,0.0,-6.98549167400858,1.0
20009,0.1880552862416143,115,0.1880552862416143,115,20009,0,20003,1.00015,0,0.1880552862416143,0.0,0.0,0.0,0.0,0.1880552862416143,1.0
20009,-6.829266829283346,102,-6.829266829283346,102,20009,0,20003,1.00015,1,0.07073317071665888,0.0,-6.900000000000004,0.0,0.0,-6.829266829283346,1.0
20009,0.12042718937086022,50,0.12042718937086022,50,20009,0,20003,1.00015,2,0.12042718937086022,0.0,0.0,0.0,0.0,0.12042718937086022,1.0
