step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
26070,-17.079548187007052,225,-17.079548187007052,225,26070,0,26064,0.13032,3,0.07045181299292523,0.0,-17.149999999999977,0.0,0.0,-17.079548187007052,1.0
26193,-2.5057572014020835,236,-2.5057572014020835,236,26193,0,26187,0.130935,0,0.0942427985979163,0.0,-2.5999999999999996,0.0,0.0,-2.5057572014020835,1.0
26278,-1.3133185390804125,285,-1.3133185390804125,285,26278,0,26272,0.13136,1,0.1366814609195875,0.0,-1.4500000000000002,0.0,0.0,-1.3133185390804125,1.0
26446,-24.659926322273538,276,-24.659926322273538,276,26446,0,26440,0.1322,2,0.14007367772641388,0.0,-24.79999999999995,0.0,0.0,-24.659926322273538,1.0
27076,-7.181889477273696,261,-7.181889477273696,261,27076,0,27070,0.13535,3,0.16811052272630775,0.0,-7.350000000000004,0.0,0.0,-7.181889477273696,1.0
27096,-17.959005940976322,247,-17.959005940976322,247,27096,0,27091,0.135455,0,0.09099405902364979,0.0,-18.04999999999997,0.0,0.0,-17.959005940976322,1.0
27302,-4.0048721209816325,227,-4.0048721209816325,227,27302,0,27296,0.13648,2,0.09512787901836892,0.0,-4.100000000000001,0.0,0.0,-4.0048721209816325,1.0
27852,-7.090186650483509,210,-7.090186650483509,210,27852,0,27846,0.13923,3,0.05981334951649542,0.0,-7.150000000000005,0.0,0.0,-7.090186650483509,1.0
28086,-14.541286488740335,232,-14.541286488740335,232,28086,0,28080,0.1404,0,0.10871351125965949,0.0,-14.649999999999993,0.0,0.0,-14.541286488740335,1.0
28087,-24.63089979976151,242,-24.63089979976151,242,28087,0,28083,0.140415,2,0.11910020023843516,0.0,-24.749999999999943,0.0,0.0,-24.63089979976151,1.0
28623,-3.58394599819183,511,-3.58394599819183,511,28623,0,28617,0.143085,1,0.7660540018081671,0.0,-4.350000000000001,0.0,0.0,-3.58394599819183,1.0
29057,-17.352444429148786,294,-17.352444429148786,294,29057,0,29051,0.145255,0,0.1475555708512016,0.0,-17.499999999999986,0.0,0.0,-17.352444429148786,1.0
29130,-17.232171622981166,276,-17.232171622981166,276,29130,0,29124,0.14562,3,0.11782837701880414,0.0,-17.34999999999997,0.0,0.0,-17.232171622981166,1.0
29144,-3.8695423627107055,245,-3.8695423627107055,245,29144,0,29140,0.1457,2,0.13045763728929602,0.0,-4.000000000000002,0.0,0.0,-3.8695423627107055,1.0
29635,-11.596826689253684,252,-11.596826689253684,252,29635,0,29629,0.148145,1,0.10317331074631733,0.0,-11.7,0.0,0.0,-11.596826689253684,1.0
29893,-17.318638757622747,237,-17.318638757622747,237,29893,0,29887,0.149435,0,0.08136124237723973,0.0,-17.399999999999988,0.0,0.0,-17.318638757622747,1.0
30054,-18.94732768987571,253,-18.94732768987571,253,30054,0,30048,0.15024,2,0.10267231012427289,0.0,-19.049999999999983,0.0,0.0,-18.94732768987571,1.0
30642,-20.397410546675935,267,-20.397410546675935,267,30642,0,30636,0.15318,1,0.15258945332402768,0.0,-20.54999999999996,0.0,0.0,-20.397410546675935,1.0
